geneid	15089X1	15089X2	15089X3	15089X4	15089X5	15089X6	15089X7	15089X8	15089X9	15089X10	15089X11	15089X12	15089X13	15089X14	15089X15	15089X16
ENSMUSG00000000001	1941	1745	2768	2910	1124	2577	2265	2067	1517	1912	1900	2616	2087	1738	1606	1633
ENSMUSG00000000003	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	21	23	27	27	14	28	17	18	21	24	21	17	17	23	22	13
ENSMUSG00000000031	3	3	1	5	3	3	10	0	3	2	4	7	20	42	9	14
ENSMUSG00000000037	0	0	0	0	0	0	4	0	0	0	0	0	2	1	0	3
ENSMUSG00000000049	28341	30970	50511	49518	22421	33501	31659	28992	36375	30321	34342	41268	27786	28248	30264	25824
ENSMUSG00000000056	748	728	1665	1570	716	1002	694	907	811	935	1106	892	919	688	927	972
ENSMUSG00000000058	53	84	94	75	28	110	121	88	32	51	138	110	81	69	78	90
ENSMUSG00000000078	249	187	200	355	149	180	221	218	190	233	367	279	557	479	373	359
ENSMUSG00000000085	102	84	93	121	89	77	90	96	110	106	61	110	151	181	143	138
ENSMUSG00000000088	1819	1756	2795	2405	1160	1951	1784	1734	1587	1453	2440	2168	1643	1669	1611	1343
ENSMUSG00000000093	44	32	47	39	29	38	42	42	35	48	22	39	47	66	55	52
ENSMUSG00000000094	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	136	124	109	237	50	65	123	114	96	76	51	129	83	136	132	91
ENSMUSG00000000125	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ENSMUSG00000000126	6	4	15	8	3	5	12	3	3	7	4	23	11	9	11	2
ENSMUSG00000000127	213	184	178	344	136	250	267	197	215	203	199	343	282	293	234	206
ENSMUSG00000000131	549	484	659	939	498	506	644	598	739	693	317	829	913	1024	932	811
ENSMUSG00000000134	285	316	336	444	217	311	291	334	249	268	135	363	327	395	319	268
ENSMUSG00000000142	101	59	128	201	99	139	121	75	176	160	48	145	173	272	336	122
ENSMUSG00000000148	186	135	306	327	114	161	186	199	268	218	185	251	274	325	292	221
ENSMUSG00000000149	1539	1461	2439	3192	1921	1592	1898	1464	2422	2346	1168	2886	2289	2480	2925	1988
ENSMUSG00000000154	1007	1191	1981	1721	612	746	1048	1033	1184	1170	1258	1377	1129	1319	1449	1087
ENSMUSG00000000157	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0
ENSMUSG00000000159	392	308	616	565	229	478	372	338	345	399	651	524	461	423	425	381
ENSMUSG00000000167	7	9	15	8	4	13	11	6	6	7	13	12	7	11	8	6
ENSMUSG00000000168	1212	938	1141	1974	631	1227	1222	1300	742	876	1044	1280	1206	1270	823	1032
ENSMUSG00000000171	2971	2726	4404	4266	1973	3126	3308	2919	2394	2395	6032	3571	2746	2523	2392	2267
ENSMUSG00000000182	0	0	0	0	0	0	11	0	0	0	0	0	3	0	0	0
ENSMUSG00000000183	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	222	169	266	363	161	300	286	233	172	259	86	298	266	290	331	263
ENSMUSG00000000194	377	339	585	578	283	371	391	361	436	443	287	458	546	559	504	429
ENSMUSG00000000197	1	1	0	2	0	1	10	1	0	2	0	0	0	6	3	2
ENSMUSG00000000202	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
ENSMUSG00000000204	9	0	10	1	5	0	7	0	2	0	3	13	29	13	11	4
ENSMUSG00000000214	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000000215	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0
ENSMUSG00000000223	1	0	1	0	0	0	2	0	0	0	0	0	0	1	4	0
ENSMUSG00000000244	3	0	4	2	3	0	9	2	4	0	12	6	12	9	17	10
ENSMUSG00000000247	31	29	32	40	22	26	41	28	42	28	28	47	47	53	47	38
ENSMUSG00000000248	2	0	0	0	0	0	4	0	0	3	0	0	4	0	2	0
ENSMUSG00000000253	13	19	19	15	0	21	13	13	9	11	18	24	17	21	23	7
ENSMUSG00000000263	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ENSMUSG00000000266	170	119	150	262	124	182	194	157	153	217	157	244	248	214	223	162
ENSMUSG00000000275	1172	970	1608	1467	976	1744	1480	1177	1315	1371	1075	1541	1335	1865	1854	1223
ENSMUSG00000000276	30	48	56	102	30	40	49	52	38	45	36	79	77	71	69	47
ENSMUSG00000000278	676	579	908	1120	526	730	630	663	478	372	488	633	580	641	480	511
ENSMUSG00000000282	55	54	85	96	108	45	50	23	48	101	35	46	85	137	190	86
ENSMUSG00000000290	231	100	335	243	80	183	199	201	138	167	280	337	511	361	435	155
ENSMUSG00000000295	6	10	10	21	2	21	10	21	6	5	8	16	11	12	20	11
ENSMUSG00000000296	84	82	179	114	47	105	89	101	70	100	168	106	107	99	115	71
ENSMUSG00000000301	3556	3575	5531	5103	1958	3291	3292	3307	2707	2681	5292	3506	2940	3024	3178	2971
ENSMUSG00000000303	1077	1136	1015	1442	527	1031	1007	936	387	510	451	770	584	772	783	411
ENSMUSG00000000305	11	17	11	30	9	8	28	8	33	14	21	33	16	22	20	22
ENSMUSG00000000308	7	3	41	0	0	0	6	0	0	0	2	0	1	1	0	0
ENSMUSG00000000317	42	21	22	61	16	37	35	47	34	26	9	31	54	45	36	16
ENSMUSG00000000318	8	5	10	3	2	3	10	9	3	5	7	20	8	16	19	8
ENSMUSG00000000320	6	14	24	16	0	6	15	5	0	7	7	10	10	4	14	9
ENSMUSG00000000325	219	225	254	309	161	194	193	221	251	219	170	333	416	485	405	322
ENSMUSG00000000326	15659	13071	22179	17924	6787	19153	16901	17536	8899	9113	14287	14418	10817	11393	12767	9470
ENSMUSG00000000339	136	107	179	191	78	154	165	138	136	111	143	175	135	129	121	125
ENSMUSG00000000340	1415	1378	2350	3157	1263	1435	1692	1347	1483	1635	2038	2168	1501	1358	1744	1343
ENSMUSG00000000346	1108	1097	1212	1452	1017	1334	1247	1146	952	931	1217	1254	1103	1007	1180	933
ENSMUSG00000000355	295	231	421	423	232	261	329	299	254	306	367	364	334	303	300	230
ENSMUSG00000000359	6	10	3	19	3	9	5	6	13	8	9	5	19	15	9	7
ENSMUSG00000000365	1	3	3	4	0	1	19	0	1	3	5	0	6	6	1	7
ENSMUSG00000000374	482	393	696	752	327	688	556	422	578	530	393	791	769	809	754	542
ENSMUSG00000000378	203	196	369	296	131	276	265	236	182	238	191	268	281	302	275	185
ENSMUSG00000000381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384	356	385	440	453	148	316	347	381	381	356	291	453	416	422	393	338
ENSMUSG00000000385	30	35	73	77	34	34	59	43	46	68	76	127	113	78	61	54
ENSMUSG00000000386	27	9	22	4	22	14	34	13	15	14	25	49	62	89	92	46
ENSMUSG00000000392	3	0	1	1	2	2	10	4	2	3	4	2	4	8	13	7
ENSMUSG00000000394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000399	1504	1371	2448	2793	850	1710	1499	1396	1332	1468	2266	2280	1647	1469	1428	1374
ENSMUSG00000000402	1	1	0	0	0	2	3	2	0	1	0	4	1	2	4	0
ENSMUSG00000000409	15	13	38	3	14	5	13	15	7	8	3	16	18	16	62	13
ENSMUSG00000000411	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ENSMUSG00000000416	8	14	6	0	5	4	15	3	15	8	3	13	9	12	15	9
ENSMUSG00000000420	921	844	1304	1721	540	1216	1042	878	790	1026	887	1356	1168	971	953	778
ENSMUSG00000000435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000439	221	178	398	401	173	276	295	223	278	259	296	364	326	250	322	282
ENSMUSG00000000440	153	97	367	386	127	140	107	155	129	202	231	335	606	350	85	255
ENSMUSG00000000441	1635	1502	1958	2766	907	1801	1782	1568	1648	1456	1321	2313	1899	2081	1736	1398
ENSMUSG00000000486	12	8	19	9	9	5	3	14	16	12	8	25	14	13	60	10
ENSMUSG00000000489	28	19	25	37	11	19	18	10	31	35	9	54	61	75	68	22
ENSMUSG00000000530	48	28	75	75	36	82	65	58	31	60	53	87	87	107	90	39
ENSMUSG00000000531	19	27	13	28	10	23	21	26	27	12	17	39	20	24	23	22
ENSMUSG00000000532	188	177	322	490	136	145	235	174	255	215	140	272	301	288	329	284
ENSMUSG00000000538	377	475	644	691	359	444	433	516	544	522	235	499	652	738	613	601
ENSMUSG00000000544	1	0	29	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000000552	90	93	66	69	51	113	68	91	53	78	53	75	95	92	73	69
ENSMUSG00000000555	306	280	259	317	149	282	318	266	388	247	173	351	365	435	366	194
ENSMUSG00000000560	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000000561	201	202	240	327	142	241	220	210	184	191	220	313	232	245	239	159
ENSMUSG00000000562	0	0	2	0	0	5	6	1	0	0	0	1	2	0	0	1
ENSMUSG00000000563	3381	3039	5225	5542	2512	3915	3622	3474	2990	3111	6595	4853	3160	2863	2924	2585
ENSMUSG00000000567	73	51	38	67	95	115	57	43	70	88	43	58	78	176	169	47
ENSMUSG00000000568	226	225	236	379	204	285	247	247	292	290	145	262	333	357	431	329
ENSMUSG00000000579	3	0	1	3	0	7	1	1	2	1	2	9	7	1	6	2
